0	70	164.5	510	1220	4000	897.914	1477.04	6.25919	4658.9	0.0438145
1	85	106.25	604	1030	4000	2064    1261.93 6.36249 3.69125 0.0443903
2	70	71.5	585	1100	4000	972.809	207.763	2.69319	428.36	0.00326222
3	40	101.25	623	1200	4000	1146.98	1363.64	6.98713	2460.28	0.0421826
4	60	86.25	929	850	4000	1433.94	102.4	2.49044	1137.53	0.00532753
5	40	78.5	698	850	4000	1517.48	739.189	5.43437	9769.66	0.0781755
6	30	73.75	867	835	4000	1764.33	968.812	7.12017	5626.79	0.0616396
7	35	71.25	1141	915	4000	1874.86	2338.65	13.8232	4460.06	0.0527719
8	60	101.25	1160	1010	4000	1915.18	1357.4	7.48392	19833.7	0.0730733
9	30	47.5	520	1085	4000	1142.33	1106.19	6.25576	2938	0.0450214
10	60	111.25	694	1275	4000	1302.31	1722.43	8.80492	13266.1	0.0667031
11	45	86.25	1127	980	4000	1821.7	2236.77	11.8008	16670.6	0.0728202
12	55	74.5	607	875	4000	4271.74	16.7252	1.70031	910.35	0.0050981
13	50	56.5	544	1565	4000	94011.3	2.29312	1.57738	631.956	0.00278075
14	65	72.5	947	1135	4000	97572.8	2.43402	1.60485	1046.36	0.00337776
15	45	86.25	843	855	4000	1600    6.7593  1.65654 1.18736 0.00527071
16	60	98.75	1110	850	4000	1684.37	1110.55	7.10466	8569.63	0.0606327
17	35	62.5	638	785	4000	1504.28	891.066	7.18334	4997.29	0.074387
18	45	82.5	726	990	4000	1284.89	1944.78	10.3638	8371.26	0.0641256
19	55	128.75	863	1405	4000	1097.96	2853.22	9.91864	3255.52	0.033373
20	50	64.5	617	855	4000	17250.9	4.07147	1.54299	1032.36	0.00529497
21	60	93.75	884	905	4000	2000    6.44165 1.6424  1.45124 0.00494998
22	65	116.25	926	1210	4000	1424.93	1281.75	6.06935	19969.6	0.0659794
23	35	98.75	470	1275	4000	981.415	1150.72	6.07683	2088.03	0.0384649
24	40	59.5	569	1340	4000	926.143	2020.6	8.40514	2037.17	0.0299607
25	40	65.5	753	1385	4000	1037.14	2251.03	8.35674	3480.48	0.0355943
26	45	86.25	1161	930	4000	1922.72	1423.45	8.32421	6309.34	0.057982
27	50	103.75	496	1215	4000	73819.1	1.84051	1.54506	709.06	0.00407706
28	45	66.5	625	1090	4000	1111.15	2470.06	12.2416	3918.96	0.0517391
29	45	104.5	647	1100	4000	1080.33	1768.98	8.24795	4879.82	0.0495663
30	55	60.5	688	880	4000	6195.31	9.19276	1.62769	945.74	0.00512163
31	55	101.25	537	1170	4000	52.3725 3.56646 1.49055 1.50888 0.00409556
32	45	78.5	484	1180	4000	1009.38	755.315	4.29851	3603.48	0.0473789
33	60	123.75	503	1325	4000	935.001	1123.26	5.39493	1982.75	0.0370384
34	50	113.75	597	1230	4000	896.624	1609.42	7.34913	3270.05	0.044648
35	50	96.5	634	985	4000	1344.73	857.864	5.29377	8027.91	0.0653989
36	65	91.25	846	785	4000	1291.8	101.278	2.3523	1129.84	0.00572108
37	50	82.5	706	825	4000	11114.2	231.888	4.15764	-8092.58	0.0149791
38	40	88.75	791	900	4000	1617.41	1413.94	9.14257	9119.97	0.074638
39	50	99.5	776	1255	4000	1145.21	2092.31	8.22745	3001.62	0.0346983
40	45	62.5	1126	950	4000	158707	2.20777	1.69446	1271	0.00399277
41	45	62.5	527	1280	4000	835.697	2450.55	9.96291	2239.12	0.0383634
42	30	88.5	711	1200	4000	1107.84	2187.66	9.45488	3190.96	0.0417177
43	50	71.5	1057	1100	4000	56806.3	4.07723	1.64616	1076.39	0.00336249
44	50	93.5	498	1210	4000	825.737	1276.83	6.13816	2505.62	0.0394321
45	70	103.75	774	1000	4000	1599.6	1276.83	6.13816	2505.62	0.0394321
46	45	46.5	989	1215	4000	13475.9	13.4278	1.74389	896.437	0.00305523
47	30	86.25	599	1060	4000	1264.14	1098.12	6.64097	3548.18	0.0532148
48	30	83.5	780	1355	4000	1049.59	2578.69	9.12971	2790.86	0.0323048
49	45	98.75	550	1155	4000	1094.96	924.75	5.60206	2847.48	0.0474961
50	50	94.5	659	1080	4000	1206.32	1352.33	6.86273	7545.24	0.0585744
51	50	96.25	1305	885	4000	1965.89	1520.35	8.63401	13884.4	0.0705652
52	50	83.75	780	835	4000	1669.33	729.142	6.02825	-23122.1	0.263719
53	50	77.5	978	815	4000	3150.52	32.8121	1.81527	1108.46	0.00481491
54	45	101.25	1166	1090	4000	1612.64	2641.22	12.1497	7420.68	0.0540166
55	65	118.75	570	1145	4000	8489.56	238.164	3.58221	-5767.51	0.0120588
56	45	51.5	671	1225	4000	11115.4	10.7488	1.64472	836.167	0.00349684
57	50	83.5	941	1190	4000	1311.67	1895.56	7.94688	3253.41	0.0377951
58	40	40.5	1030	1005	4000	915.056 1895.56	7.94688	3253.41	0.0377951	
59	35	87.5	590	1000	4000	1435.09	678.111	4.74914	3228.04	0.0541837
60	65	81.5	696	955	4000	2875.76	47.4271	1.93854	751.517	0.00391625
61	60	70.5	764	1065	4000	25509.9	6.62091	1.63429	788.912	0.00346724
62	45	55.5	458	1365	4000	2458.08	48.5049	1.74704	450.375	0.00289052
63	45	83.75	689	845	4000	1784.41	599.562	5.08909	4082.92	0.05949
64	55	97.5	422	1350	4000	500.685	4523.45	14.4855	1563.9	0.0317404
65	50	78.5	488	1180	4000	790.911	3136.57	14.2247	3841.5	0.0566267
66	30	93.75	515	1240	4000	650.376	3134.82	13.0453	2030.37	0.0403474
67	40	40.5	517	1335	4000	1.04583	0.868364	1.29399	15.0175	0.000786788
68	60	91.25	923	920	4000	1657.4	3134.82	13.0453	2030.37	0.0403474
